mode,leaf_code,operator,value_cm,value2_cm,unit,source_fragment,leaf_text
air,B1.6-3.3,range,3.0,4.0,cm,ไม่น้อยกว่า 30 มิลลิเมตร แต่ไม่เกิน 40 มิลลิเมตร,ลักษณะกลม เส้นผ่านศูนย์กลางไม่น้อยกว่า 30 มิลลิเมตร แต่ไม่เกิน 40 มิลลิเมตร
air,B1.6-3.4,range,80.0,90.0,cm,ไม่น้อยกว่า 800 มิลลิเมตร แต่ไม่เกิน 900 มิลลิเมตร,สูงจากพื้นไม่น้อยกว่า 800 มิลลิเมตร แต่ไม่เกิน 900 มิลลิเมตร
air,B1.6-3.5,range,70.0,75.0,cm,700-750 มิลลิเมตร,ติดตั้งราวจับราวที่สองในระดับความสูงระหว่าง 700-750 มิลลิเมตร จากพื้นเพื่อประโยชน์ ต่อรถเข็นคนพิการ (Wheelchair)
air,B1.6-3.6,range,60.0,65.0,cm,600-650 มิลลิเมตร,ราวจับคู่ (Double rail) สำหรับราวจับของเด็ก ติดตั้งสูงจากพื้น 600-650 มิลลิเมตร
air,B1.6-3.7,gte,5.0,,cm,ไม่น้อยกว่า 50 มิลลิเมตร,ราวจับด้านที่อยู่ติดผนังให้มีระยะห่างจากผนัง ไม่น้อยกว่า 50 มิลลิเมตร มีความสูงจากจุดยึด ไม่น้อยกว่า 120 มิลลิเมตร และผน
air,B1.6-3.7,gte,12.0,,cm,ไม่น้อยกว่า 120 มิลลิเมตร,ราวจับด้านที่อยู่ติดผนังให้มีระยะห่างจากผนัง ไม่น้อยกว่า 50 มิลลิเมตร มีความสูงจากจุดยึด ไม่น้อยกว่า 120 มิลลิเมตร และผน
air,B1.6-3.9,gte,30.0,,cm,ไม่น้อยกว่า 300 มิลลิเมตร,ปลายของราวจับให้ยื่นเลยจากจุดเริ่มต้นและ จุดสิ้นสุดของบันไดไม่น้อยกว่า 300 มิลลิเมตร
air,B2.1-3,gte,70.0,,cm,ไม่น้อยกว่า 700 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร และมีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับ รถเข็นคนพิการ (Whee
air,B2.1-3,gte,40.0,,cm,ไม่น้อยกว่า 400 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร และมีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับ รถเข็นคนพิการ (Whee
air,B2.1-3,lte,80.0,,cm,ไม่เกิน 800 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร และมีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับ รถเข็นคนพิการ (Whee
air,B2.1-3,lte,75.0,,cm,ไม่เกิน 750 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร และมีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับ รถเข็นคนพิการ (Whee
air,B2.3-7,gte,70.0,,cm,ไม่น้อยกว่า 700 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร และ มีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับ รถเข็นคนพิการ (Whe
air,B2.3-7,lte,80.0,,cm,ไม่เกิน 800 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร และ มีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับ รถเข็นคนพิการ (Whe
air,B2.3-7,lte,75.0,,cm,ไม่เกิน 750 มิลลิเมตร,เคาน์เตอร์ต้องมีความสูงสุทธิไม่เกิน 800 มิลลิเมตร และ มีพื้นที่ว่างใต้โต๊ะหรือเคาน์เตอร์เพียงพอสำหรับ รถเข็นคนพิการ (Whe
